단위중량(kg),투입중량(kg),염색길이(m),투입중량/길이,투입중량/액량,공정진행시간(%),진행온도,포속1,포속3,포속4,염색색차 DE
800.0,50.0,67.0,0.746268656716418,0.0833333333333333,39.71,130.6,36,0,0,0.7474369
320.0,122.7,77.0,1.5935064935064935,0.06135,57.04,77.8,18,93,128,1.593427
324.0,44.6,41.0,1.0878048780487806,0.0446,40.62,126.8,68,211,48,0.7530965
536.0,168.4,16.0,10.525,0.0842,14.24,85.8,94,91,22,2.792194
604.0,207.4,550.0,0.3770909090909091,0.05185,98.67,29.8,21,124,257,1.874971
604.0,258.8,400.0,0.647,0.0647,68.6,124.5,63,66,164,2.080513
620.0,189.8,266.0,0.7135338345864662,0.0949,43.61,101.1,73,78,86,0.3338742
350.0,35.6,13.0,2.7384615384615385,0.0593333333333333,27.87,129.8,46,0,0,11.56194
625.0,218.2,14.0,15.585714285714284,0.1090999999999999,72.52,116.8,94,95,158,0.5479724
560.0,60.8,10.0,6.08,0.0608,75.54,98.1,58,520,66,0.3221368
190.0,88.3,458.0,0.1927947598253275,0.022075,2.2,30.6,59,58,1,1.169382
560.0,341.8,545.0,0.6271559633027524,0.08545,32.14,91.8,105,94,39,3.928609
450.0,164.2,173.0,0.9491329479768784,0.0820999999999999,60.18,78.7,79,80,187,1.362835
320.0,158.6,90.0,1.762222222222222,0.0793,62.03,89.2,132,141,126,0.6491697
450.0,95.8,72.0,1.3305555555555555,0.0958,43.75,130.0,55,32,256,1.355596
235.0,19.8,33.0,0.6,0.033,17.86,81.2,42,0,0,1.645152
320.0,54.6,76.0,0.718421052631579,0.0546,2.31,37.4,13,67,2,1.818745
620.0,189.8,266.0,0.7135338345864662,0.0949,30.82,129.8,76,80,58,0.3338742
560.0,341.6,545.0,0.6267889908256881,0.0854,38.32,120.0,95,90,47,1.958902
460.0,51.5,36.0,1.4305555555555556,0.0515,80.76,68.0,68,69,183,0.8660321
294.0,80.1,254.0,0.3153543307086613,0.0800999999999999,99.41,31.7,73,4,419,0.319741
560.0,288.2,373.0,0.7726541554959785,0.07205,7.66,37.6,83,83,5,0.7729153
460.0,155.8,5.0,31.160000000000004,0.0779,88.22,98.7,82,80,230,1.361657
495.0,350.8,210.0,1.6704761904761904,0.0877,73.29,74.7,87,83,73,1.542863
324.0,54.4,119.0,0.4571428571428571,0.0544,15.63,107.9,49,46,104,1.702155
560.0,63.6,10.0,6.36,0.0636,87.93,69.0,33,33,941,1.315164
450.0,129.0,92.0,1.4021739130434785,0.0645,61.68,102.6,11,84,142,1.000596
552.0,219.4,6.0,36.56666666666667,0.1097,79.44,69.8,110,111,153,1.562582
190.0,88.3,458.0,0.1927947598253275,0.022075,43.61,94.4,75,87,59,1.169382
560.0,199.5,111.0,1.7972972972972974,0.09975,67.57,83.4,103,119,74,3.457263
450.0,95.8,72.0,1.3305555555555555,0.0958,54.91,69.2,27,48,329,1.355596
324.0,38.0,19.0,2.0,0.038,80.99,67.5,67,370,53,0.8450533
460.0,48.0,3.0,16.0,0.048,45.19,68.8,64,331,69,1.644801
314.0,44.6,35.0,1.2742857142857142,0.0743333333333333,88.99,51.0,42,0,0,0.5272802
505.0,152.2,3.0,50.73333333333333,0.0761,17.31,85.3,70,90,22,0.7943481
560.0,42.8,11.0,3.89090909090909,0.0713333333333333,34.76,80.1,60,0,0,14.85745
450.0,41.0,83.0,0.4939759036144578,0.0683333333333333,58.25,69.6,45,0,0,2.425779
505.0,152.2,3.0,50.73333333333333,0.0761,3.18,29.1,90,95,2,0.7943481
460.0,48.0,3.0,16.0,0.048,80.94,125.9,66,944,122,1.644801
320.0,197.6,601.0,0.3287853577371048,0.0988,80.79,97.6,70,139,95,2.601036
560.0,286.8,450.0,0.6373333333333333,0.0717,67.44,72.4,88,79,63,3.629072
320.0,158.6,90.0,1.762222222222222,0.0793,84.85,112.3,23,148,173,0.6491697
450.0,129.0,92.0,1.4021739130434785,0.0645,79.0,117.8,14,84,186,1.000596
460.0,38.4,32.0,1.2,0.064,22.87,123.2,160,0,0,0.3146644
324.0,44.6,41.0,1.0878048780487806,0.0446,63.25,136.2,69,405,79,0.7530965
320.0,122.7,77.0,1.5935064935064935,0.06135,1.98,37.7,5,84,2,1.593427
505.0,149.4,6.0,24.9,0.0747,50.43,131.1,90,99,56,0.9071327
324.0,78.3,25.0,3.132,0.0783,21.3,136.2,59,65,104,5.306342
324.0,102.4,16.0,6.4,0.0512,51.58,135.2,93,93,129,0.4797601
495.0,329.3,126.0,2.6134920634920635,0.082325,69.93,90.6,79,91,55,1.476973
324.0,102.4,57.0,1.7964912280701757,0.0512,51.5,127.6,90,90,70,3.41324
324.0,44.6,41.0,1.0878048780487806,0.0446,62.28,136.9,65,67,79,0.7530965
560.0,288.2,373.0,0.7726541554959785,0.07205,84.69,49.8,88,81,122,0.7729153
324.0,139.6,253.0,0.5517786561264821,0.0698,5.58,38.4,75,135,2,0.5054298
235.0,19.8,33.0,0.6,0.033,68.25,78.8,38,0,0,1.645152
450.0,124.8,227.0,0.5497797356828193,0.0624,93.01,71.6,78,77,385,3.592049
485.0,113.0,267.0,0.4232209737827715,0.0565,95.52,35.4,9,76,148,5.026582
146.0,189.1,1600.0,0.1181875,0.047275,49.33,120.3,123,118,77,0.4288969
